"","cad","annotation_Primary","annotation_Secondary"
"1","cad_1813","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"2","cad_21167","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"3","cad_21183","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"4","cad_21214","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"5","cad_21216","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"6","cad_21379","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"7","cad_21381","AffiliationDirectedAbuse","AffiliationDirectedAbuse / derogation"
"8","cad_21413","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"9","cad_21567","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"10","cad_21810","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"11","cad_21904","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"12","cad_21905","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"13","cad_21979","AffiliationDirectedAbuse","AffiliationDirectedAbuse / derogation"
"14","cad_22157","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"15","cad_22218","AffiliationDirectedAbuse","AffiliationDirectedAbuse / derogation"
"16","cad_22224","AffiliationDirectedAbuse","AffiliationDirectedAbuse / derogation"
"17","cad_22228","AffiliationDirectedAbuse","AffiliationDirectedAbuse / derogation"
"18","cad_22545","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"19","cad_22569","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"20","cad_22576","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"21","cad_22599","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"22","cad_22972","AffiliationDirectedAbuse","AffiliationDirectedAbuse / derogation"
"23","cad_23284","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"24","cad_23327","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"25","cad_23468","AffiliationDirectedAbuse","AffiliationDirectedAbuse / derogation"
"26","cad_23476","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"27","cad_23501","AffiliationDirectedAbuse","AffiliationDirectedAbuse / derogation"
"28","cad_24396","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"29","cad_24430","AffiliationDirectedAbuse","AffiliationDirectedAbuse / derogation"
"30","cad_24632","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"31","cad_24912","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"32","cad_25061","AffiliationDirectedAbuse","AffiliationDirectedAbuse / derogation"
"33","cad_25248","AffiliationDirectedAbuse","AffiliationDirectedAbuse / animosity"
"34","cad_25269","AffiliationDirectedAbuse","AffiliationDirectedAbuse / derogation"
"35","cad_25444","AffiliationDirectedAbuse","AffiliationDirectedAbuse / derogation"
"36","cad_25586","AffiliationDirectedAbuse","AffiliationDirectedAbuse / derogation"
"37","cad_25716","AffiliationDirectedAbuse","AffiliationDirectedAbuse / derogation"
"38","cad_27354","AffiliationDirectedAbuse","AffiliationDirectedAbuse / derogation"
"39","cad_27379","AffiliationDirectedAbuse","AffiliationDirectedAbuse / derogation"
