"","cad","annotation_Primary","annotation_Secondary"
"1","cad_1461","IdentityDirectedAbuse","IdentityDirectedAbuse / derogation"
"2","cad_20873","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"3","cad_21083","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"4","cad_21087","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"5","cad_21103","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"6","cad_21194","IdentityDirectedAbuse","IdentityDirectedAbuse / derogation"
"7","cad_21509","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"8","cad_21715","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"9","cad_21834","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"10","cad_21919","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"11","cad_21978","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"12","cad_22137","IdentityDirectedAbuse","IdentityDirectedAbuse / derogation"
"13","cad_22451","IdentityDirectedAbuse","IdentityDirectedAbuse / derogation"
"14","cad_22956","IdentityDirectedAbuse","IdentityDirectedAbuse / derogation"
"15","cad_23192","IdentityDirectedAbuse","IdentityDirectedAbuse / derogation"
"16","cad_23199","IdentityDirectedAbuse","IdentityDirectedAbuse / derogation"
"17","cad_23285","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"18","cad_23289","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"19","cad_23472","IdentityDirectedAbuse","IdentityDirectedAbuse / derogation"
"20","cad_23708","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"21","cad_23710","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"22","cad_23764","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"23","cad_24312","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"24","cad_24373","IdentityDirectedAbuse","IdentityDirectedAbuse / derogation"
"25","cad_24474","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"26","cad_24526","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"27","cad_24570","IdentityDirectedAbuse","IdentityDirectedAbuse / derogation"
"28","cad_24711","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"29","cad_24758","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"30","cad_24765","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"31","cad_24770","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"32","cad_24774","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"33","cad_24780","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"34","cad_24784","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"35","cad_24785","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"36","cad_24786","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"37","cad_24802","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"38","cad_24813","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"39","cad_24870","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"40","cad_24883","IdentityDirectedAbuse","IdentityDirectedAbuse / threatening language"
"41","cad_24998","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"42","cad_25023","IdentityDirectedAbuse","IdentityDirectedAbuse / derogation"
"43","cad_25084","IdentityDirectedAbuse","IdentityDirectedAbuse / derogation"
"44","cad_25109","IdentityDirectedAbuse","IdentityDirectedAbuse / derogation"
"45","cad_25113","IdentityDirectedAbuse","IdentityDirectedAbuse / threatening language"
"46","cad_25115","IdentityDirectedAbuse","IdentityDirectedAbuse / derogation"
"47","cad_25116","IdentityDirectedAbuse","IdentityDirectedAbuse / threatening language"
"48","cad_25370","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"49","cad_25413","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"50","cad_25556","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"51","cad_25591","IdentityDirectedAbuse","IdentityDirectedAbuse / derogation"
"52","cad_25592","IdentityDirectedAbuse","IdentityDirectedAbuse / derogation"
"53","cad_25841","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"54","cad_25936","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"55","cad_26294","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
"56","cad_27282","IdentityDirectedAbuse","IdentityDirectedAbuse / animosity"
